time,heartrate
13:23:15,71
13:23:30,71
13:23:35,72
13:23:45,73
13:23:50,74
13:23:55,73
13:23:60,72
13:24:05,71
13:24:20,70
13:24:25,69
13:24:35,70
13:24:40,69
13:24:45,67
13:24:50,71
13:24:55,72
13:25:10,72
13:25:20,71
13:25:35,71
13:25:40,73
13:25:45,72
13:25:55,71
13:26:10,71
13:26:20,72
13:26:25,71
13:26:40,71
13:26:55,70
13:26:55,71
13:26:60,70
13:27:05,71
13:27:10,71
13:27:15,72
13:27:30,73
13:27:40,74
13:27:55,74
13:28:05,73
13:28:10,73
13:28:20,72
13:28:25,71
13:28:40,71
13:28:45,71
13:28:50,73
13:28:60,70
13:29:10,70
13:29:20,69
13:29:25,68
13:29:30,67
13:29:45,67
13:29:55,72
13:30:05,73
13:30:10,72
13:30:15,71
13:30:20,69
13:30:30,69
13:30:45,69
13:30:60,69
13:31:10,68
13:31:15,69
13:31:20,67
13:31:30,66
13:31:35,65
13:31:50,65
13:31:55,64
13:32:10,64
13:32:20,64
13:32:25,64
13:32:30,64
13:32:35,72
13:32:40,76
13:32:45,76
13:32:50,76
13:32:55,73
13:32:60,71
13:33:05,71
13:33:20,71
13:33:35,71
13:33:40,70
13:33:45,69
13:33:60,69
13:33:60,69
13:34:15,69
13:34:20,67
13:34:30,68
13:34:35,66
13:34:40,67
13:34:45,68
13:34:50,67
13:34:60,66
13:35:15,66
13:35:30,66
13:35:40,67
13:35:55,67
13:37:40,62
13:37:55,62
13:38:10,62
13:38:20,63
13:38:25,63
13:38:30,70
13:38:35,71
13:38:50,71
13:38:60,70
13:39:05,68
13:39:20,68
13:39:25,66
13:39:30,67
13:39:45,67
13:39:60,67
13:40:15,67
13:40:20,66
13:40:35,66
13:40:40,67
13:40:45,68
13:40:50,69
13:40:55,68
13:40:60,69
13:41:05,70
13:41:20,70
13:41:30,69
13:41:35,68
13:41:40,66
13:41:45,65
13:41:50,66
13:42:05,66
13:42:10,67
13:42:25,67
13:42:30,66
13:42:45,66
13:42:50,66
13:42:55,67
13:42:60,67
13:43:10,66
13:43:15,65
13:43:25,64
13:43:30,62
13:43:35,60
13:43:45,61
13:43:50,62
13:43:55,67
13:44:05,68
13:44:20,68
13:44:30,66
13:44:35,65
13:44:40,64
13:44:45,62
13:44:50,61
13:44:60,60
13:45:10,62
13:45:15,63
13:45:20,65
13:45:30,67
13:45:35,66
13:45:45,65
13:45:50,65
13:46:05,65
13:46:10,66
13:46:15,67
13:46:25,68
13:46:30,67
13:46:45,67
13:46:60,67
13:47:15,67
13:47:25,70
13:47:30,72
13:47:45,72
13:47:55,73
13:48:05,72
13:48:10,73
13:48:15,74
13:48:20,75
13:48:25,76
13:48:35,77
13:48:45,78
13:48:50,79
13:49:05,79
13:49:10,82
13:49:15,83
13:49:20,86
13:49:30,87
13:49:35,89
13:49:40,90
13:49:45,92
13:49:50,94
13:49:55,95
13:50:10,95
13:50:15,96
13:50:30,96
13:50:35,103
13:50:40,97
13:50:45,96
13:50:50,95
13:50:55,97
13:51:00,99
13:51:05,100
13:51:10,101
13:51:20,102
13:51:25,103
13:51:35,100
13:51:40,77
13:51:45,78
13:51:50,77
13:51:55,73
13:51:60,71
13:52:15,71
13:52:20,72
13:52:25,73
13:52:40,73
13:52:55,73
13:53:10,74
13:53:15,75
13:53:25,76
13:53:35,76
13:53:40,78
13:53:45,79
13:53:50,78
13:53:55,76
13:54:10,76
13:54:20,74
13:54:25,73
13:54:30,74
13:54:45,73
13:54:60,73
13:55:10,72
13:55:25,72
13:55:40,72
13:55:45,71
13:55:55,72
13:56:10,71
13:56:15,71
13:56:20,72
13:56:35,72
13:56:40,73
13:56:50,74
13:56:55,78
13:56:60,82
13:57:15,82
13:57:25,83
13:57:40,83
13:57:45,87
13:57:50,87
13:57:60,88
13:58:05,92
13:58:15,92
13:58:20,93
13:58:35,95
13:58:40,97
13:58:45,99
13:58:50,99
13:58:60,99
13:59:15,99
13:59:30,99
13:59:45,85
13:59:50,84
13:59:60,85
14:00:05,87
14:00:20,87
14:01:50,80
14:01:55,82
14:01:60,82
14:02:05,81
14:02:20,81
14:02:25,82
14:02:30,81
14:02:40,78
14:02:50,81
14:03:05,80
14:03:10,78
14:03:15,77
14:03:30,77
14:05:30,83
14:05:40,82
14:05:45,83
14:06:00,83
14:06:05,84
14:06:10,86
14:06:20,87
14:06:25,88
14:06:30,89
