,calorieslevel,caloriesmets,time,calories,steps,heartrate
126,0,10,14580,1.1562000513076782,0,58
127,0,10,14760,1.1562000513076782,0,55
128,0,11,14880,1.2718199491500854,0,53
129,0,10,15000,1.1562000513076782,0,52
130,0,10,15060,1.1562000513076782,0,56
131,0,10,15120,1.1562000513076782,0,56
132,0,10,15180,1.1562000513076782,0,52
133,0,10,15540,1.1562000513076782,0,58
134,0,10,15780,1.1562000513076782,0,53
135,0,10,15840,1.1562000513076782,0,57
136,0,10,15960,1.1562000513076782,0,55
137,0,10,16140,1.1562000513076782,0,55
138,0,10,16200,1.1562000513076782,0,54
139,0,10,16320,1.1562000513076782,0,55
140,0,10,16380,1.1562000513076782,0,55
141,0,10,16440,1.1562000513076782,0,56
142,0,10,16560,1.1562000513076782,0,55
143,0,10,16740,1.1562000513076782,0,56
