,time,heartrate,steps,elevation
353,38400,64,0,0.0
354,38460,65,0,0.0
355,38640,60,0,0.0
356,38700,60,0,0.0
357,39000,69,0,0.0
358,39060,65,0,0.0
359,39120,69,0,0.0
360,39180,67,0,0.0
361,39240,65,0,0.0
362,39420,64,0,0.0
363,39540,68,0,0.0
364,39660,62,0,0.0
365,39780,64,0,0.0
366,39900,62,0,0.0
367,39960,76,0,0.0
368,40200,67,0,0.0
369,40260,63,0,0.0
370,40320,60,0,0.0
371,40500,61,0,0.0
372,40620,57,0,0.0
373,40740,64,0,0.0
374,40800,71,0,0.0
375,41160,62,0,0.0
376,41220,60,0,0.0
377,41280,63,0,0.0
378,41520,66,0,0.0
379,41640,70,0,0.0
380,42120,59,0,0.0
381,42180,64,0,0.0
382,42600,61,0,0.0
383,42660,65,0,0.0
384,42900,62,0,0.0
385,43320,80,0,0.0
386,43380,81,0,0.0
387,43440,74,0,0.0
388,43560,74,0,0.0
389,43680,86,7,0.0
390,43740,77,10,0.0
391,43860,81,43,0.0
392,43920,90,0,0.0
393,44040,78,0,0.0
394,44100,71,0,0.0
395,44160,71,0,0.0
396,44520,106,0,0.0
397,44580,75,0,0.0
398,44640,66,0,0.0
399,44880,79,0,0.0
400,45000,75,0,0.0
401,45360,75,0,0.0
402,45420,81,6,0.0
403,45480,76,0,0.0
404,45600,75,0,0.0
405,45660,78,0,0.0
406,45960,74,0,0.0
407,46140,68,0,0.0
408,46560,75,0,0.0
409,46680,70,0,0.0
410,46740,75,0,0.0
411,46800,75,0,0.0
412,46860,72,8,0.0
413,46920,72,16,0.0
414,46980,76,47,0.0
415,47100,89,20,0.0
416,47160,84,76,0.0
417,47340,100,17,0.0
418,47400,99,0,0.0
419,47580,78,0,0.0
420,47880,80,0,0.0
421,47940,70,0,0.0
422,48000,66,0,0.0
423,48060,67,0,0.0
424,48120,74,0,0.0
425,48240,72,0,0.0
426,48420,70,0,0.0
427,48540,70,0,0.0
428,48660,69,0,0.0
429,48780,71,0,0.0
430,48840,69,6,0.0
431,48840,69,6,0.0
432,48900,66,10,0.0
433,49140,70,0,0.0
434,49200,67,0,0.0
435,49260,69,0,0.0
436,49380,67,0,0.0
437,49500,60,0,0.0
438,49620,67,20,0.0
439,49860,99,0,0.0
440,49920,71,0,0.0
441,50100,73,0,0.0
442,50220,82,21,0.0
443,50280,88,23,0.0
444,50340,99,3,0.0
445,50400,85,0,0.0
446,50520,82,0,0.0
447,50760,83,30,0.0
448,50880,80,65,0.0
449,50940,85,9,0.0
450,51000,87,59,0.0
451,51060,83,7,0.0
452,51120,83,4,0.0
453,51180,99,33,0.0
454,51360,102,0,0.0
455,51660,99,0,0.0
456,51720,78,0,0.0
457,51840,83,10,0.0
458,52320,75,5,0.0
459,52440,78,0,0.0
460,52560,76,0,0.0
461,52680,79,0,0.0
462,52740,82,0,0.0
463,52800,82,0,0.0
464,52980,77,0,0.0
465,53040,75,57,0.0
466,53100,79,100,0.0
467,53160,84,41,0.0
468,53220,84,40,0.0
469,53280,91,33,0.0
470,53340,95,21,0.0
471,53400,103,0,0.0
472,53460,75,0,0.0
473,53760,87,96,3.0480000972747803
474,53820,89,97,3.0480000972747803
475,53880,98,71,0.0
476,54000,108,112,0.0
477,54120,109,18,0.0
478,54360,118,115,0.0
479,54420,117,63,0.0
480,54480,102,12,0.0
481,54540,109,0,0.0
482,54600,106,32,0.0
483,54960,88,122,0.0
484,55020,89,80,3.0480000972747803
485,55080,95,137,0.0
486,55320,99,0,0.0
487,55440,85,114,0.0
488,55500,106,118,0.0
489,55620,108,100,0.0
490,55680,106,92,0.0
491,55800,106,110,0.0
492,55860,102,117,0.0
493,55920,93,119,0.0
494,56100,120,108,0.0
495,56220,124,81,0.0
496,56280,118,0,0.0
497,56340,113,65,0.0
498,56580,118,79,0.0
499,56820,122,106,0.0
500,56940,106,79,0.0
501,57060,107,103,0.0
502,57360,111,101,0.0
503,57420,110,70,0.0
504,57480,105,33,0.0
505,57540,100,69,0.0
506,57600,104,36,0.0
507,57660,110,0,0.0
508,57780,109,22,0.0
509,57960,119,94,0.0
510,58020,120,111,0.0
511,58080,118,112,9.144000053405762
512,58200,131,146,0.0
513,58380,135,148,0.0
514,58500,129,145,0.0
515,58560,129,114,3.0480000972747803
516,58620,126,133,0.0
517,58740,134,50,0.0
518,58920,128,153,0.0
519,59040,149,130,0.0
520,59100,147,134,3.0480000972747803
521,59160,146,99,3.0480000972747803
522,59220,134,121,0.0
523,59340,144,1,0.0
524,59460,127,0,0.0
525,59580,123,21,0.0
526,59640,114,0,0.0
527,59820,104,0,0.0
