time,value
04:10:08,52
04:10:23,51
04:10:33,52
04:10:38,51
04:10:45,50
04:11:00,50
04:11:05,51
04:11:20,51
04:11:35,51
04:11:50,52
04:12:00,51
04:12:15,51
04:12:30,51
04:12:45,51
04:13:00,51
04:13:15,52
04:13:25,52
04:13:40,52
04:13:55,51
04:14:05,52
04:14:15,51
04:14:20,52
04:14:25,53
04:14:30,52
04:14:35,51
04:14:40,52
04:14:55,52
04:14:58,53
04:15:08,52
04:15:18,51
04:15:33,53
04:15:38,52
04:15:53,52
04:15:58,51
04:16:03,52
04:16:18,51
04:16:33,51
04:16:43,50
04:16:48,51
04:17:03,51
04:17:08,52
04:17:18,51
04:17:33,51
04:17:38,52
04:17:53,52
04:17:58,51
04:18:03,52
04:18:08,53
04:18:13,52
04:18:28,52
04:18:38,51
04:18:43,52
04:18:53,52
04:19:08,52
04:19:10,52
04:19:15,73
04:19:20,80
04:19:25,76
04:19:30,73
04:19:35,71
04:19:40,69
04:19:45,67
04:19:50,64
04:19:55,60
04:20:00,56
04:20:05,54
04:20:10,52
04:20:15,51
04:20:25,50
04:20:30,51
04:20:35,55
04:20:40,56
04:20:45,59
04:21:00,59
04:21:05,56
04:21:10,55
04:21:15,54
04:21:25,53
04:21:31,53
04:21:36,58
04:21:46,56
04:21:51,58
04:21:56,57
04:22:01,55
04:22:06,54
04:22:21,54
04:22:26,52
04:22:31,51
04:22:36,50
04:22:41,53
04:22:46,56
04:22:51,56
04:23:06,56
04:23:16,54
04:23:21,53
04:23:36,53
04:23:41,51
04:23:56,51
04:24:01,52
04:24:16,52
04:24:26,51
04:24:31,52
04:24:38,57
04:24:43,58
04:24:48,57
04:24:53,56
04:24:58,55
04:25:03,54
04:25:08,53
04:25:13,52
04:25:18,51
04:25:23,50
04:25:38,50
04:25:53,49
04:26:08,49
04:26:23,49
04:26:33,52
04:26:48,52
04:26:53,52
04:27:03,54
04:27:08,53
04:27:13,51
04:27:18,50
04:27:28,49
04:27:33,48
04:27:48,48
04:28:03,47
04:28:05,48
04:28:20,49
04:28:25,48
04:28:30,49
04:28:45,49
04:29:00,49
04:29:15,49
04:29:30,49
04:29:40,49
04:29:45,50
04:29:55,64
04:30:00,69
04:30:15,69
04:31:32,50
04:31:47,50
04:32:02,50
04:32:07,49
04:32:17,49
04:32:32,49
04:32:37,54
04:32:52,52
04:32:57,51
04:33:02,50
04:33:17,49
04:33:32,49
04:33:42,50
04:33:52,49
04:34:07,49
04:34:22,49
04:34:27,49
04:34:42,49
04:34:47,50
04:35:02,50
04:35:17,50
04:35:22,49
04:35:27,49
04:35:32,51
04:35:37,50
04:35:42,49
04:35:49,49
04:36:04,50
04:36:09,49
04:36:14,50
04:36:29,50
04:36:44,52
04:36:59,52
04:37:04,67
04:37:09,65
04:37:14,63
04:37:19,61
04:37:24,59
04:37:29,57
04:37:34,55
04:37:39,54
04:37:44,52
04:37:59,52
04:38:04,51
04:38:14,52
04:38:19,53
04:38:24,52
04:38:34,51
04:38:49,51
04:39:04,50
04:39:06,50
04:39:21,50
04:39:36,50
04:39:51,50
04:40:06,50
04:40:21,50
04:40:26,49
04:40:31,50
04:40:36,49
04:40:46,50
04:41:01,50
04:41:06,51
04:41:11,50
04:41:16,51
04:41:26,50
04:41:36,50
04:41:46,60
04:41:51,62
04:42:01,60
04:42:16,60
04:42:21,61
04:42:26,72
04:42:31,71
04:42:36,70
04:42:41,67
04:42:48,59
04:42:53,58
04:42:58,56
04:43:03,54
04:43:08,52
04:43:13,50
04:43:18,49
04:43:23,48
04:43:38,48
04:43:43,49
04:43:48,48
04:43:53,47
04:43:58,46
04:44:03,47
04:44:08,46
04:44:18,47
04:44:28,48
04:44:38,47
04:44:43,48
04:44:58,48
04:45:08,47
04:45:18,48
04:45:28,49
04:45:33,48
04:45:38,49
04:45:43,51
04:45:53,49
04:45:59,49
04:46:04,48
04:46:14,47
04:46:24,48
04:46:34,47
04:46:39,46
04:46:44,49
04:46:49,49
04:46:54,50
04:47:04,50
04:47:09,67
04:47:14,66
04:47:19,65
04:47:24,63
04:47:29,57
04:47:34,56
04:47:39,54
04:47:44,52
04:47:49,52
04:47:54,50
04:47:59,48
04:48:14,48
04:48:19,49
04:48:24,49
04:48:29,48
04:48:36,48
04:48:51,47
04:49:06,47
04:49:11,48
04:49:21,49
04:49:26,50
04:49:36,52
04:49:41,52
04:49:51,50
04:50:01,49
04:50:06,50
04:50:21,50
04:50:26,48
04:50:31,47
04:50:36,46
04:50:46,45
04:50:51,46
04:51:06,46
04:51:11,47
04:51:16,46
04:51:21,47
04:51:26,48
04:51:41,48
04:51:46,47
04:51:51,48
04:52:06,48
04:52:08,49
04:52:23,50
04:52:38,52
04:52:43,51
04:52:58,50
04:53:03,49
04:53:13,48
04:53:18,49
04:53:23,48
04:53:33,47
04:53:38,49
04:53:43,50
04:53:48,49
04:54:03,49
04:54:13,49
04:54:23,50
04:54:38,50
04:54:53,50
04:54:58,48
04:55:03,48
04:55:08,47
04:55:18,46
04:55:33,46
04:55:38,47
04:55:43,47
04:55:50,47
04:56:00,48
04:56:10,47
04:56:25,47
04:56:40,47
04:56:55,47
04:57:05,48
04:57:10,49
04:57:15,50
04:57:20,52
04:57:25,51
04:57:40,51
04:57:55,52
04:58:00,51
04:58:05,50
04:58:10,49
04:58:25,49
04:58:30,47
04:58:45,47
04:58:50,48
04:59:00,47
04:59:10,46
04:59:20,47
04:59:25,48
04:59:40,48
04:59:42,48
04:59:47,52
04:59:52,51
04:59:57,50
05:00:02,48
05:00:07,47
05:00:12,46
05:00:22,45
05:00:37,46
05:00:42,46
05:00:47,47
05:00:52,46
05:00:57,47
05:01:07,47
05:01:12,46
05:01:17,47
05:01:22,46
05:01:37,46
05:01:52,45
05:02:07,46
05:02:12,48
05:02:27,48
05:02:32,47
05:02:42,48
05:02:49,48
05:02:54,48
05:02:59,48
05:03:04,48
05:03:19,48
05:03:29,49
05:03:39,49
05:03:54,49
05:03:59,48
05:04:04,48
05:04:14,49
05:04:19,51
05:04:29,50
05:04:44,50
05:06:16,54
05:06:21,53
05:06:26,52
05:06:31,51
05:06:41,53
05:06:46,55
05:06:51,55
05:06:56,55
05:07:01,54
05:07:06,53
05:07:11,52
05:07:16,51
05:07:21,50
05:07:26,50
05:07:31,49
05:07:46,49
05:07:51,51
05:07:56,50
05:08:06,52
05:08:11,55
05:08:16,54
05:08:26,53
05:08:31,52
05:08:36,51
05:08:46,53
05:09:01,53
05:09:07,54
05:09:17,53
05:09:22,52
05:09:27,51
05:09:37,50
05:09:47,49
05:10:02,49
05:10:07,50
05:10:12,49
05:10:17,48
05:10:32,48
05:10:47,48
05:11:02,48
05:11:07,49
05:11:12,52
05:11:17,54
05:11:32,54
05:11:47,54
05:11:57,54
05:12:07,55
05:12:17,56
05:12:22,56
05:12:27,63
05:12:32,62
05:12:37,62
05:12:42,60
05:12:47,57
05:12:54,56
05:12:59,55
05:13:04,53
05:13:14,52
05:13:19,53
05:13:24,55
05:13:29,54
05:13:44,54
05:13:49,52
05:13:54,51
05:14:04,50
05:14:09,51
05:14:14,51
05:14:29,51
05:14:44,51
05:14:59,51
05:15:14,50
05:15:29,50
05:15:39,54
05:15:49,53
05:15:54,51
05:15:59,50
05:16:04,48
05:16:09,47
05:16:14,46
05:16:21,45
05:16:36,51
05:16:41,50
05:16:46,49
05:16:56,48
05:17:01,47
05:17:16,47
05:17:31,48
05:19:28,50
05:19:33,49
05:19:38,48
05:19:48,49
05:20:03,49
05:20:13,49
05:20:28,49
05:20:33,48
05:20:38,49
05:20:48,48
05:21:03,48
05:21:08,47
05:21:18,48
05:21:33,48
05:21:48,48
05:21:53,49
05:22:08,49
05:22:13,48
05:22:28,48
05:22:43,48
05:22:48,49
05:22:58,50
05:23:03,51
05:23:13,51
05:23:23,50
05:23:38,50
05:23:43,51
05:23:50,51
05:23:55,50
05:24:00,51
05:24:10,50
05:24:15,49
05:24:30,49
05:24:40,50
05:24:45,52
05:24:50,51
05:25:05,51
05:25:10,49
05:25:20,48
05:25:35,48
05:25:45,50
05:26:00,50
05:26:10,52
05:26:20,54
05:26:30,53
05:26:35,54
05:26:40,54
05:26:45,54
05:26:50,53
05:26:55,52
05:27:00,51
05:27:05,50
05:27:12,50
05:27:17,49
05:27:32,49
05:27:37,50
05:27:42,51
05:27:52,50
05:27:57,51
05:28:12,51
05:28:17,60
05:28:22,58
05:28:27,57
05:28:32,55
05:28:37,54
05:28:42,52
05:28:47,51
05:28:57,52
05:29:02,50
05:29:07,49
05:29:22,49
05:29:37,49
05:29:47,50
05:29:52,52
05:30:02,51
05:30:12,50
05:30:19,49
05:30:24,48
05:30:29,47
05:30:34,46
05:30:49,46
05:30:59,48
05:31:04,50
05:31:14,49
05:31:19,48
05:31:24,47
05:31:39,47
05:31:49,49
05:31:54,51
05:31:59,51
05:32:04,52
05:32:14,54
05:32:19,70
05:32:24,65
05:32:29,63
05:32:34,60
05:32:39,58
05:32:44,56
05:32:49,54
05:32:54,54
05:32:59,61
05:33:05,61
05:33:10,59
05:33:15,57
05:33:20,55
05:33:25,54
05:33:30,53
05:33:35,52
05:33:40,51
05:33:50,50
05:33:55,51
05:34:00,52
05:34:05,53
05:34:15,55
05:34:20,54
05:34:25,53
05:34:30,52
05:34:35,51
05:34:45,50
05:34:50,49
05:35:05,49
05:35:10,48
05:35:25,48
05:35:30,50
05:35:45,50
05:35:50,50
05:35:57,50
05:36:12,49
05:36:27,50
05:36:32,49
05:36:37,49
05:36:47,51
05:37:02,51
05:37:07,50
05:37:17,52
05:37:22,53
05:37:27,52
05:37:42,52
05:37:52,51
05:38:02,52
05:38:17,52
05:38:32,51
05:38:37,54
05:38:42,53
05:38:57,53
05:39:12,52
05:39:27,51
05:39:42,51
05:39:49,50
05:39:59,52
05:40:14,52
05:40:19,51
05:40:29,52
05:40:44,52
05:40:59,52
05:41:14,51
05:41:24,52
05:41:39,52
05:41:54,52
05:42:04,52
05:42:09,53
05:42:19,52
05:42:24,50
05:42:39,50
05:42:44,52
05:42:59,52
05:43:09,50
05:43:24,50
05:43:29,51
05:43:34,52
05:43:39,53
05:43:46,52
05:44:01,51
05:44:16,51
05:44:26,52
05:44:36,51
05:44:51,51
05:45:06,51
05:45:21,51
05:45:31,51
05:45:41,50
05:45:56,50
05:46:06,51
05:46:11,52
05:46:16,51
05:46:21,51
05:46:36,51
05:46:51,50
05:46:56,51
05:47:11,51
05:47:16,52
05:47:26,51
05:47:36,52
05:47:51,52
05:48:06,52
05:48:09,52
05:48:14,51
05:48:19,52
05:48:34,51
05:48:49,53
05:48:54,52
05:49:09,52
05:49:24,52
05:49:29,53
05:49:34,52
05:49:44,51
05:49:54,50
05:50:09,50
05:50:14,51
05:50:29,51
05:50:44,51
05:50:49,50
05:51:04,50
05:51:09,48
05:51:14,49
05:51:29,49
05:51:44,50
05:51:59,50
05:52:04,51
05:52:19,51
05:52:21,51
05:52:31,52
05:52:46,51
05:52:51,50
05:53:06,50
05:53:21,51
05:53:36,51
05:53:51,51
05:53:56,50
05:54:01,51
05:54:06,54
05:54:11,53
05:54:21,52
05:54:31,51
05:54:36,50
05:54:51,50
05:55:01,53
05:55:16,53
05:55:26,51
05:55:31,52
05:55:36,51
05:55:51,51
05:56:06,51
05:56:21,51
05:56:31,52
05:56:38,52
05:56:43,53
05:56:48,52
05:57:03,51
05:57:18,51
05:57:33,50
05:57:38,53
05:57:53,53
05:57:58,51
05:58:13,51
05:58:28,51
05:58:43,51
05:58:58,51
05:59:03,50
05:59:08,51
05:59:13,53
05:59:28,53
05:59:38,52
05:59:53,52
05:59:58,51
06:00:13,51
06:00:28,51
06:00:33,53
06:00:40,52
06:00:55,52
06:01:00,51
06:01:05,50
06:01:20,50
06:01:25,52
06:01:40,52
06:01:55,52
06:02:10,51
06:02:20,51
06:02:25,52
06:02:40,52
06:02:55,53
06:03:00,52
06:03:15,52
06:03:30,52
06:03:45,52
06:03:50,52
06:04:05,52
06:04:20,52
06:04:35,51
06:04:38,52
06:04:43,53
06:04:53,52
06:05:08,51
06:05:23,52
06:05:38,51
06:05:43,52
06:05:53,51
06:06:08,51
06:06:13,52
06:06:18,51
06:06:33,51
06:06:43,52
06:06:58,52
06:07:08,52
06:07:13,51
06:07:28,51
06:07:38,53
06:07:53,53
06:07:58,53
06:08:08,52
06:08:13,52
06:08:28,52
06:08:40,51
06:08:55,51
06:09:00,50
06:09:15,51
06:09:20,52
06:09:35,53
06:09:50,52
06:10:00,53
06:10:10,52
06:10:25,52
06:10:35,51
06:10:40,52
06:10:50,51
06:11:05,51
06:11:10,52
06:11:20,51
06:11:30,52
06:11:45,52
06:12:00,52
06:12:15,52
06:12:25,52
06:12:30,53
06:12:35,52
06:12:50,52
06:13:00,53
06:13:05,52
06:13:12,52
06:13:27,52
06:13:37,51
06:13:52,51
06:13:57,52
06:14:12,52
06:14:17,54
06:14:27,55
06:14:37,54
06:14:42,58
06:14:47,57
06:14:52,56
06:14:57,55
06:15:02,54
06:15:07,53
06:15:12,52
06:15:27,52
06:15:42,52
06:15:47,51
06:16:02,51
06:16:07,51
06:16:17,52
06:16:32,52
06:16:37,52
06:16:44,52
06:16:49,51
06:17:04,50
06:17:09,51
06:17:24,51
06:17:29,53
06:17:34,54
06:17:49,54
06:18:04,53
06:18:14,51
06:18:19,51
06:18:24,51
06:18:39,51
06:18:44,52
06:18:54,53
06:18:59,52
06:19:04,51
06:19:09,51
06:19:14,52
06:19:29,52
06:19:44,52
06:19:49,50
06:19:54,49
06:19:59,50
